PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Ethnicity Name","Enrollment by Ethnicity"
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"ELEMENTARY","Two or More Races",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"ELEMENTARY","White",6
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"ELEMENTARY","Black or African American",18
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"ELEMENTARY","Asian",9
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"ELEMENTARY","Hispanic",230
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"ELEMENTARY","Two or More Races",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"ELEMENTARY","White",13
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"ELEMENTARY","Black or African American",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"ELEMENTARY","Asian",21
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"ELEMENTARY","Hispanic",81
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"ELEMENTARY","Two or More Races",29
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"ELEMENTARY","White",319
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"MIDDLE SCHOOL","Black or African American",76
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"MIDDLE SCHOOL","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"MIDDLE SCHOOL","Asian",11
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"MIDDLE SCHOOL","Hispanic",826
