Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2013-2014

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES"
"STATE","DISTRICT","2013-2014",030906,"EULA ISD",14,345,12,103,0,0,0,168,204,110,6,11,29
"STATE","DISTRICT","2013-2014",031803,"HARMONY SCIENCE ACADEMY - BROWNSVI",01,442,12,66,87,0,76,360,442,188,0,0,12
"STATE","DISTRICT","2013-2014",031901,"BROWNSVILLE ISD",01,49370,4999,14246,15152,11162,3439,47424,49366,31985,128,27,5039
"STATE","DISTRICT","2013-2014",031903,"HARLINGEN CISD",01,18568,1141,5079,2608,2336,513,14567,13284,10262,171,42,1572
"STATE","DISTRICT","2013-2014",031905,"LA FERIA ISD",01,3615,188,801,489,355,68,2931,3614,1876,-9999999,5,257
"STATE","DISTRICT","2013-2014",031906,"LOS FRESNOS CISD",01,10531,789,2522,2193,1601,388,7976,10531,4683,94,-9999999,733
"STATE","DISTRICT","2013-2014",031909,"POINT ISABEL ISD",01,2650,135,644,888,612,202,2367,2650,1787,10,5,239
"STATE","DISTRICT","2013-2014",031911,"RIO HONDO ISD",01,2169,106,506,312,209,64,1867,2167,1347,27,5,158
"STATE","DISTRICT","2013-2014",031912,"SAN BENITO CISD",01,11028,363,2814,2555,1590,599,9148,10927,7037,65,39,841
"STATE","DISTRICT","2013-2014",031913,"SANTA MARIA ISD",01,727,77,187,303,193,106,698,727,520,0,0,41
"STATE","DISTRICT","2013-2014",031914,"SANTA ROSA ISD",01,1176,43,387,174,123,34,1131,1176,801,7,14,92
"STATE","DISTRICT","2013-2014",031916,"SOUTH TEXAS ISD",01,3353,728,3003,57,0,68,2027,3353,883,0,0,41
"STATE","DISTRICT","2013-2014",032902,"PITTSBURG ISD",08,2455,85,732,372,86,273,1934,2455,1340,0,-9999999,268
"STATE","DISTRICT","2013-2014",033901,"GROOM ISD",16,135,10,38,-9999999,0,-9999999,41,135,34,0,-9999999,11
